state,date,ML,Low_90,High_90,Low_50,High_50
Alabama,2020-03-13,4.0,1.58,8.290000000000001,2.83,5.57
Alabama,2020-03-14,2.93,1.34,5.13,2.27,3.86
Alabama,2020-03-15,2.7,1.31,4.5200000000000005,2.09,3.43
Alabama,2020-03-16,2.52,1.24,4.09,2.0100000000000002,3.2
Alabama,2020-03-17,2.58,1.36,4.0200000000000005,2.12,3.23
Alabama,2020-03-18,2.64,1.49,3.95,2.2,3.22
Alabama,2020-03-19,2.54,1.45,3.68,2.17,3.1
Alabama,2020-03-20,2.49,1.49,3.54,2.13,2.98
Alabama,2020-03-21,2.41,1.49,3.38,2.07,2.85
Alabama,2020-03-22,2.64,1.8,3.5500000000000003,2.33,3.0500000000000003
Alabama,2020-03-23,2.85,2.1,3.68,2.58,3.23
Alabama,2020-03-24,2.92,2.23,3.63,2.69,3.27
Alabama,2020-03-25,2.79,2.19,3.45,2.58,3.1
Alabama,2020-03-26,2.52,1.97,3.12,2.3000000000000003,2.77
Alabama,2020-03-27,2.19,1.68,2.7600000000000002,1.98,2.42
Alabama,2020-03-28,1.85,1.36,2.4,1.69,2.12
Alabama,2020-03-29,1.57,1.09,2.11,1.4000000000000001,1.82
Alabama,2020-03-30,1.44,0.9400000000000001,1.95,1.28,1.7
Alabama,2020-03-31,1.56,1.08,2.09,1.4000000000000001,1.82
Alabama,2020-04-01,1.6300000000000001,1.1300000000000001,2.11,1.47,1.8800000000000001
Alabama,2020-04-02,1.72,1.27,2.23,1.58,1.98
Alabama,2020-04-03,1.71,1.27,2.2,1.54,1.92
Alabama,2020-04-04,1.6400000000000001,1.21,2.11,1.48,1.85
Alabama,2020-04-05,1.6,1.19,2.07,1.45,1.81
Alabama,2020-04-06,1.62,1.2,2.05,1.46,1.81
Alabama,2020-04-07,1.57,1.16,1.99,1.41,1.75
Alabama,2020-04-08,1.6,1.2,2.0100000000000002,1.48,1.82
Alabama,2020-04-09,1.53,1.1300000000000001,1.92,1.4000000000000001,1.73
Alabama,2020-04-10,1.4000000000000001,1.02,1.8,1.26,1.58
Alabama,2020-04-11,1.23,0.87,1.6500000000000001,1.1,1.42
Alabama,2020-04-12,1.1,0.73,1.51,0.97,1.29
Alabama,2020-04-13,1.0,0.61,1.3900000000000001,0.85,1.17
Alabama,2020-04-14,1.0,0.62,1.41,0.88,1.21
Alabama,2020-04-15,0.98,0.58,1.37,0.85,1.18
Alaska,2020-03-14,4.0,1.58,8.290000000000001,2.83,5.57
Alaska,2020-03-15,3.75,1.54,7.3100000000000005,2.8000000000000003,5.19
Alaska,2020-03-16,3.98,1.7,7.3,2.98,5.32
Alaska,2020-03-17,3.6,1.6,6.4,2.74,4.75
Alaska,2020-03-18,3.63,1.69,6.2,2.8000000000000003,4.69
Alaska,2020-03-19,3.3000000000000003,1.53,5.54,2.58,4.26
Alaska,2020-03-20,3.27,1.59,5.37,2.59,4.17
Alaska,2020-03-21,3.18,1.54,5.05,2.56,4.03
Alaska,2020-03-22,3.2,1.68,4.98,2.57,3.94
Alaska,2020-03-23,3.0,1.55,4.5600000000000005,2.43,3.68
Alaska,2020-03-24,2.93,1.6,4.4,2.42,3.58
Alaska,2020-03-25,2.83,1.57,4.16,2.34,3.41
Alaska,2020-03-26,2.63,1.46,3.86,2.17,3.16
Alaska,2020-03-27,2.39,1.3,3.5500000000000003,2.0,2.93
Alaska,2020-03-28,2.22,1.17,3.31,1.8,2.68
Alaska,2020-03-29,2.02,1.02,3.08,1.6600000000000001,2.5100000000000002
Alaska,2020-03-30,1.87,0.9,2.91,1.53,2.36
Alaska,2020-03-31,1.74,0.8,2.7800000000000002,1.36,2.17
Alaska,2020-04-01,1.6400000000000001,0.7000000000000001,2.66,1.31,2.12
Alaska,2020-04-02,1.59,0.65,2.6,1.23,2.0300000000000002
Alaska,2020-04-03,1.6,0.66,2.6,1.27,2.07
Alaska,2020-04-04,1.61,0.68,2.61,1.24,2.0300000000000002
Alaska,2020-04-05,1.61,0.68,2.59,1.29,2.08
Alaska,2020-04-06,1.6,0.6900000000000001,2.58,1.29,2.07
Alaska,2020-04-07,1.55,0.63,2.49,1.24,2.0100000000000002
Alaska,2020-04-08,1.5,0.59,2.43,1.19,1.95
Alaska,2020-04-09,1.42,0.53,2.36,1.07,1.82
Alaska,2020-04-10,1.3800000000000001,0.5,2.32,1.06,1.81
Alaska,2020-04-11,1.31,0.43,2.24,1.0,1.75
Alaska,2020-04-12,1.24,0.32,2.11,0.92,1.67
Alaska,2020-04-13,1.18,0.27,2.05,0.84,1.59
Alaska,2020-04-14,1.17,0.28,2.07,0.86,1.62
Alaska,2020-04-15,1.11,0.22,1.99,0.78,1.54
Arizona,2020-03-05,4.0,1.58,8.290000000000001,2.83,5.57
Arizona,2020-03-06,3.75,1.54,7.3100000000000005,2.8000000000000003,5.19
Arizona,2020-03-07,3.56,1.49,6.71,2.65,4.82
Arizona,2020-03-08,3.41,1.42,6.2700000000000005,2.5300000000000002,4.55
Arizona,2020-03-09,3.29,1.42,6.01,2.45,4.36
Arizona,2020-03-10,3.18,1.36,5.74,2.44,4.2700000000000005
Arizona,2020-03-11,3.09,1.34,5.5600000000000005,2.37,4.13
Arizona,2020-03-12,3.0100000000000002,1.26,5.34,2.2800000000000002,3.98
Arizona,2020-03-13,2.94,1.23,5.2,2.2,3.85
Arizona,2020-03-14,3.1,1.34,5.33,2.33,3.99
Arizona,2020-03-15,3.16,1.43,5.3100000000000005,2.49,4.11
Arizona,2020-03-16,3.15,1.45,5.13,2.43,3.96
Arizona,2020-03-17,3.42,1.73,5.26,2.7800000000000002,4.25
Arizona,2020-03-18,3.72,2.17,5.41,3.11,4.45
Arizona,2020-03-19,3.86,2.49,5.3100000000000005,3.31,4.47
Arizona,2020-03-20,3.8200000000000003,2.63,5.0200000000000005,3.41,4.4
Arizona,2020-03-21,3.77,2.7600000000000002,4.78,3.38,4.21
Arizona,2020-03-22,3.5,2.67,4.4,3.19,3.9
Arizona,2020-03-23,3.23,2.49,3.99,2.97,3.59
Arizona,2020-03-24,3.0100000000000002,2.34,3.67,2.7800000000000002,3.33
Arizona,2020-03-25,2.71,2.12,3.33,2.5,3.0
Arizona,2020-03-26,2.5,1.97,3.09,2.3000000000000003,2.7600000000000002
Arizona,2020-03-27,2.38,1.8900000000000001,2.94,2.2,2.63
Arizona,2020-03-28,2.22,1.74,2.73,2.06,2.47
Arizona,2020-03-29,2.02,1.57,2.52,1.86,2.25
Arizona,2020-03-30,1.83,1.4000000000000001,2.32,1.68,2.06
Arizona,2020-03-31,1.62,1.19,2.09,1.46,1.83
Arizona,2020-04-01,1.54,1.12,2.0100000000000002,1.4000000000000001,1.77
Arizona,2020-04-02,1.53,1.11,1.99,1.37,1.73
Arizona,2020-04-03,1.51,1.08,1.94,1.37,1.73
Arizona,2020-04-04,1.46,1.05,1.9000000000000001,1.31,1.6600000000000001
Arizona,2020-04-05,1.32,0.92,1.76,1.19,1.54
Arizona,2020-04-06,1.21,0.81,1.6500000000000001,1.08,1.43
Arizona,2020-04-07,1.05,0.65,1.49,0.92,1.27
Arizona,2020-04-08,1.04,0.64,1.49,0.9,1.25
